race_id	date	race_type	around	course_len	weather	ground_state	race_class	place
202106030506	2021-04-10	0	0.0	1800	0.0	0	1	6
202106030507	2021-04-10	0	0.0	1200	0.0	0	2	6
202106030508	2021-04-10	0	0.0	1800	0.0	0	2	6
202106030509	2021-04-10	1	0.0	2000	0.0	0	5	6
202106030510	2021-04-10	1	0.0	1200	0.0	0	4	6
202106030511	2021-04-10	1	0.0	1600	0.0	0	7	6
202106030512	2021-04-10	0	0.0	1200	0.0	0	3	6
202106030601	2021-04-11	3		2880	0.0	0	1	6
202106030602	2021-04-11	1	0.0	2000	0.0	0	1	6
202106030603	2021-04-11	0	0.0	1800	0.0	0	1	6
202106030604	2021-04-11	3		3200	0.0	0	5	6
202106030605	2021-04-11	1	0.0	1600	0.0	0	1	6
202106030606	2021-04-11	0	0.0	1800	0.0	0	2	6
202106030607	2021-04-11	1	0.0	1800	0.0	0	2	6
202106030608	2021-04-11	0	0.0	1800	0.0	0	2	6
202106030609	2021-04-11	1	0.0	1200	0.0	0	3	6
202106030610	2021-04-11	0	0.0	2400	0.0	0	5	6
202106030611	2021-04-11	1	0.0	1200	0.0	0	5	6
202106030612	2021-04-11	0	0.0	1200	0.0	0	2	6
202106030701	2021-04-17	0	0.0	1200	1.0	1	1	6
202106030702	2021-04-17	0	0.0	1800	1.0	1	1	6
202106030703	2021-04-17	0	0.0	1200	1.0	1	1	6
202106030704	2021-04-17	3		2880	1.0	0	1	6
202106030705	2021-04-17	1	0.0	1600	1.0	0	1	6
202106030706	2021-04-17	1	0.0	1200	1.0	0	2	6
202106030707	2021-04-17	1	0.0	2200	1.0	0	2	6
202106030708	2021-04-17	0	0.0	1200	1.0	1	3	6
202106030709	2021-04-17	1	0.0	2000	1.0	0	2	6
202106030710	2021-04-17	0	0.0	1800	1.0	1	4	6
202106030711	2021-04-17	3		4250	1.0	0	8	6
202106030712	2021-04-17	0	0.0	1800	3.0	1	5	6
202106030801	2021-04-18	0	0.0	1800	0.0	3	1	6
202106030802	2021-04-18	0	0.0	1200	0.0	3	1	6
202106030803	2021-04-18	0	0.0	1800	0.0	3	1	6
202106030804	2021-04-18	1	0.0	2200	0.0	2	1	6
202106030805	2021-04-18	0	0.0	1800	0.0	2	2	6
202106030806	2021-04-18	0	0.0	1200	0.0	2	2	6
202106030807	2021-04-18	0	0.0	1800	0.0	2	2	6
202106030808	2021-04-18	1	0.0	1600	0.0	1	5	6
202106030809	2021-04-18	1	0.0	2000	0.0	1	5	6
202106030810	2021-04-18	0	0.0	1200	0.0	2	5	6
